CNES;Latitude_Nova;Longitude_Nova;Endereco_Google;Qualidade_Busca
24961;-23.5500328;-46.65852899999999;R. Mato Grosso, 306 - Higienópolis, São Paulo - SP, 01239-040, Brazil;GEOMETRIC_CENTER
25216;-23.5027359;-46.6726673;Av. Dep. Emílio Carlos, 187 - Limão, São Paulo - SP, 02721-000, Brazil;ROOFTOP
25488;-26.0158431;-49.3742266;R. Aguas Claras, Quitandinha - PR, Brazil;GEOMETRIC_CENTER
25496;-25.7909177;-49.4556744;Estrada Principal, S/Nº - Quitandinha, PR, 83840-000, Brazil;GEOMETRIC_CENTER
25623;-1.2950587;-47.9270573;R. Sen. Antônio Lemos, 361 - Centro, Castanhal - PA, 68740-010, Brazil;ROOFTOP
26174;-25.1073993;-48.80778160000001;BR-116, 30 - Ribeirão Grande, Campina Grande do Sul - PR, 83430-000, Brazil;ROOFTOP
26441;-22.8119359;-43.1894649;Rua Iaco, 85 - Cacuia, Rio de Janeiro - RJ, 21921-640, Brazil;ROOFTOP
26468;-10.913971;-37.053022;R. Arauá, 02 - São José, Aracaju - SE, 49015-250, Brazil;ROOFTOP
27235;-19.9197732;-43.94071779999999;806 - Edifício Juncal - R. dos Tamóios, 462 - Centro, Belo Horizonte - MG, 30120-054, Brazil;ROOFTOP
27456;-19.9272163;-43.9513744;Av. Barbacena, 1026 - Santo Agostinho, Belo Horizonte - MG, 30190-131, Brazil;ROOFTOP
27510;-19.9188264;-43.9522459;R. Juiz de Fora, 115 - Salas 706/707 - Barro Preto, Belo Horizonte - MG, 30180-060, Brazil;ROOFTOP
28010;-19.9581334;-43.91229570000001;Av. José do Patrocínio Pontes, 1355 - Mangabeiras, Belo Horizonte - MG, 30210-090, Brazil;ROOFTOP
28460;-12.9710107;-38.461139;Av. Hilda, 1 - 2 andar, 02 - Pernambués, Salvador - BA, 41110-200, Brazil;ROOFTOP
29009;-7.988801;-34.838814;Av. Dr. José Augusto Moreira, 720 - Casa Caiada, Olinda - PE, 53130-410, Brazil;ROOFTOP
29068;-8.1345257;-34.9502641;Av. Expedicionário Francisco Vitoriano, 25 - COHAB, Recife - PE, 54230-740, Brazil;ROOFTOP
29491;-6.9718703;-34.8347847;R. Duque de Caxias - Vila Sao Joao, Cabedelo - PB, 58310-000, Brazil;GEOMETRIC_CENTER
29556;-23.4828869;-46.849393;Rua Mário Quintana, 54 Melville Empresarial - Alphaville, Barueri - SP, 06485-350, Brazil;GEOMETRIC_CENTER
