CNES;Motivo_Erro
82775;Caiu em cidade errada. Esperado: IBGE 355030
83267;Caiu em cidade errada. Esperado: IBGE 315780
84344;Caiu em cidade errada. Esperado: IBGE 430680
85855;Caiu em cidade errada. Esperado: IBGE 330455
86657;Caiu em cidade errada. Esperado: IBGE 211130
86886;Caiu em cidade errada. Esperado: IBGE 291250
86959;Caiu em cidade errada. Esperado: IBGE 353440
87343;Caiu em cidade errada. Esperado: IBGE 355030
87378;Caiu em cidade errada. Esperado: IBGE 355030
88633;Fora do Brasil ou no mar
89427;Fora do Brasil ou no mar
89435;Fora do Brasil ou no mar
89648;Fora do Brasil ou no mar
89877;Fora do Brasil ou no mar
90247;Caiu em cidade errada. Esperado: IBGE 330455
93416;Fora do Brasil ou no mar
96431;Caiu em cidade errada. Esperado: IBGE 330455
96962;Fora do Brasil ou no mar
97675;Fora do Brasil ou no mar
100137;Fora do Brasil ou no mar
100145;Fora do Brasil ou no mar
100412;Caiu em cidade errada. Esperado: IBGE 330455
100420;Fora do Brasil ou no mar
100439;Fora do Brasil ou no mar
100498;Caiu em cidade errada. Esperado: IBGE 311800
100706;Caiu em cidade errada. Esperado: IBGE 314440
101125;Fora do Brasil ou no mar
101133;Fora do Brasil ou no mar
101249;Fora do Brasil ou no mar
101265;Caiu em cidade errada. Esperado: IBGE 330455
101303;Caiu em cidade errada. Esperado: IBGE 330455
101311;Caiu em cidade errada. Esperado: IBGE 330455
101761;Caiu em cidade errada. Esperado: IBGE 430535
102288;Caiu em cidade errada. Esperado: IBGE 330250
102687;Caiu em cidade errada. Esperado: IBGE 314610
103446;Caiu em cidade errada. Esperado: IBGE 530010
103659;Fora do Brasil ou no mar
104981;Caiu em cidade errada. Esperado: IBGE 353730
105384;Caiu em cidade errada. Esperado: IBGE 355030
105465;Caiu em cidade errada. Esperado: IBGE 315780
105856;Caiu em cidade errada. Esperado: IBGE 355280
106259;Caiu em cidade errada. Esperado: IBGE 432130
106534;Caiu em cidade errada. Esperado: IBGE 291920
107123;Caiu em cidade errada. Esperado: IBGE 420420
108081;Fora do Brasil ou no mar
108138;Caiu em cidade errada. Esperado: IBGE 314790
108448;Caiu em cidade errada. Esperado: IBGE 260600
108774;Caiu em cidade errada. Esperado: IBGE 355030
108820;Caiu em cidade errada. Esperado: IBGE 355030
108928;Caiu em cidade errada. Esperado: IBGE 291950
109088;Caiu em cidade errada. Esperado: IBGE 313520
109177;Caiu em cidade errada. Esperado: IBGE 354280
109274;Caiu em cidade errada. Esperado: IBGE 315780
109452;Caiu em cidade errada. Esperado: IBGE 330510
110019;Fora do Brasil ou no mar
110183;Caiu em cidade errada. Esperado: IBGE 430060
110507;Caiu em cidade errada. Esperado: IBGE 432160
110515;Caiu em cidade errada. Esperado: IBGE 412550
110981;Caiu em cidade errada. Esperado: IBGE 355280
111147;Caiu em cidade errada. Esperado: IBGE 270340
112305;Caiu em cidade errada. Esperado: IBGE 330455
112364;Caiu em cidade errada. Esperado: IBGE 410690
112739;Caiu em cidade errada. Esperado: IBGE 330455
112747;Caiu em cidade errada. Esperado: IBGE 353650
112917;Caiu em cidade errada. Esperado: IBGE 420820
113085;Caiu em cidade errada. Esperado: IBGE 355030
113360;Caiu em cidade errada. Esperado: IBGE 260620
114340;Caiu em cidade errada. Esperado: IBGE 330455
114863;Caiu em cidade errada. Esperado: IBGE 411140
114928;Caiu em cidade errada. Esperado: IBGE 352240
114979;Caiu em cidade errada. Esperado: IBGE 171330
115649;Fora do Brasil ou no mar
116270;Caiu em cidade errada. Esperado: IBGE 313240
116793;Caiu em cidade errada. Esperado: IBGE 290620
117269;Caiu em cidade errada. Esperado: IBGE 261520
117498;Fora do Brasil ou no mar
117528;Caiu em cidade errada. Esperado: IBGE 420420
117870;Caiu em cidade errada. Esperado: IBGE 230300
118176;Caiu em cidade errada. Esperado: IBGE 280710
118184;Caiu em cidade errada. Esperado: IBGE 280710
118850;Caiu em cidade errada. Esperado: IBGE 430680
118915;Caiu em cidade errada. Esperado: IBGE 421205
118990;Caiu em cidade errada. Esperado: IBGE 330455
119172;Caiu em cidade errada. Esperado: IBGE 352940
119261;Caiu em cidade errada. Esperado: IBGE 310400
119350;Caiu em cidade errada. Esperado: IBGE 310620
126624;Caiu em cidade errada. Esperado: IBGE 420820
126667;Caiu em cidade errada. Esperado: IBGE 291390
126772;Fora do Brasil ou no mar
126896;Caiu em cidade errada. Esperado: IBGE 330412
127000;Caiu em cidade errada. Esperado: IBGE 520140
127116;Caiu em cidade errada. Esperado: IBGE 292510
127272;Caiu em cidade errada. Esperado: IBGE 410690
127604;Caiu em cidade errada. Esperado: IBGE 350570
128066;Caiu em cidade errada. Esperado: IBGE 420060
128643;Fora do Brasil ou no mar
128724;Caiu em cidade errada. Esperado: IBGE 521523
128880;Caiu em cidade errada. Esperado: IBGE 520870
129437;Caiu em cidade errada. Esperado: IBGE 355030
129925;Caiu em cidade errada. Esperado: IBGE 260630
131202;Caiu em cidade errada. Esperado: IBGE 291920
131601;Caiu em cidade errada. Esperado: IBGE 220390
131709;Fora do Brasil ou no mar
132322;Caiu em cidade errada. Esperado: IBGE 260765
133647;Caiu em cidade errada. Esperado: IBGE 350570
133973;Caiu em cidade errada. Esperado: IBGE 430210
134074;Caiu em cidade errada. Esperado: IBGE 355240
